Day,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Running,78,135,20,5
2,Rest,75,75,0,0
3,Pushups,80,125,15,4
4,Rest,77,77,0,0
5,Squats,79,130,18,5
6,Rest,76,76,0,0
7,Cycling,82,140,22,6
8,Rest,78,78,0,0
9,Running,81,145,25,6
10,Pushups,77,120,12,4
11,Rest,75,75,0,0
12,Squats,80,135,20,5
13,Rest,78,78,0,0
14,Cycling,83,150,24,6
15,Rest,79,79,0,0
16,Running,82,140,23,5
17,Pushups,76,118,14,4
18,Rest,75,75,0,0
19,Squats,79,132,18,5
20,Rest,77,77,0,0
21,Cycling,81,138,20,5
