Day,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Running,60,165,50,9
2,Cycling,58,170,55,10
3,Squats,62,160,45,8
4,Pushups,59,150,40,8
5,Running,61,175,60,10
6,Cycling,57,168,50,9
7,Rest,60,60,0,0
8,Running,59,170,55,9
9,Squats,62,162,45,8
10,Pushups,58,155,40,8
11,Cycling,57,175,60,10
12,Running,60,168,50,9
13,Squats,61,160,45,8
14,Pushups,59,150,40,8
15,Cycling,58,172,55,9
16,Running,60,178,60,10
17,Squats,62,165,50,9
18,Pushups,59,155,45,8
19,Cycling,57,170,55,9
20,Running,60,175,60,10
21,Squats,61,162,50,9
